
"0","",""
"1549653","TD4096E.TXT.r_1;TD4096E.TXT.r_2"," rgya gar skad du / / +aa bhi dharma ko sha t'i ka laksha ny'a sa ri ni n'a ma / / ","0.0#TD4005E.TXT.r#549653#549658#TD4005E.TXT.r_80;TD4005E.TXT.r_81;TD4005E.TXT.r_82# de dag byung na bshags pa ni dag par byed pa'o // / +de yang gnyis te / / +don dam gyi bshags pa  ni 'gyod pa bsal ba'i mdo ltar chos thams cad rang bzhin med par yid la bya ba ni bshags pa chen po ste / / "
"1549663","TD4096E.TXT.r_3;TD4096E.TXT.r_4"," bod skad du / / +chos mngon pa mdzod kyi 'grel bshad mtshan nyid kyi rjes su 'brang ba zhes bya ba / / ","0.0#TD4005E.TXT.r#549659#549667#TD4005E.TXT.r_82;TD4005E.TXT.r_83# don dam gyi bshags pa  ni 'gyod pa bsal ba'i mdo ltar chos thams cad rang bzhin med par yid la bya ba ni bshags pa chen po ste / / "
"1549672","TD4096E.TXT.r_5;TD4096E.TXT.r_6"," 'phags pa 'jam dpal gzhon nur gyur pa la phyag 'tshal lo // / +gang zhig rang nyid thugs kyi mun pa shes bya ma  lus yul can rgyud kun zhi // / ","0.0#TD4005E.TXT.r#549668#549687#TD4005E.TXT.r_82;TD4005E.TXT.r_83;TD4005E.TXT.r_84;TD4005E.TXT.r_85;TD4005E.TXT.r_86;TD4005E.TXT.r_87;TD4005E.TXT.r_88# don dam gyi bshags pa  ni 'gyod pa bsal ba'i mdo ltar chos thams cad rang bzhin med par yid la bya ba ni bshags pa chen po ste / / +drang por 'dug la yang dag ltos // / "
"1549691","TD4096E.TXT.r_7"," nyon mongs can dang nyon mongs can min mtha' yas mkhyen rab zer ma thos mthar bskyal zhing // / ","0.0#TD4005E.TXT.r#549686#549703#TD4005E.TXT.r_88;TD4005E.TXT.r_89# kun  rdzob kyi bshags pa ni stobs bzhis 'gyod pa dang bcas pa'i shes pas phyag 'tshal ba la sogs pa thams cad bya ba ni sgyu ma lta bu'i blo dang ldan pas bshags pa ni chung ngu'o // / ","0.029#TD4010E.TXT.r#2231393#2231393#TD4010E.TXT.r_208;TD4010E.TXT.r_209# de nas zhes bya ba la sogs pa la / / +gus pa dang bcas pas phyag 'tshal ba sngon du 'gro bas yongs su zhu bar byed do zhes shes par bya ba'i phyir ro // / "
"1549707","TD4096E.TXT.r_8"," thugs rjes yongs su khyab pa'i thugs mnga' chos 'chad pa yi phyag brkyang tshul dag gis // / ","0.0#TD4005E.TXT.r#549702#549712#TD4005E.TXT.r_89# de yang dang por 'di zhus pa'i tshe bcom ldan 'das kyis byang chub sems dpa' de dag gi don du 'od zer gyis  'di nas ltos pa'i phyogs bcu'i sangs rgyas sum cu rtsa bzhi dang  de dag la sogs pa mang po spyan drangs te / / "
"1549717","TD4096E.TXT.r_9"," 'khor ba'i 'dam las 'gro ba drangs mdzad de la dang por rab tu phyag 'tshal  te ; / / ","0.0#TD4005E.TXT.r#549713#549723#TD4005E.TXT.r_89;TD4005E.TXT.r_90# de yang dang por 'di zhus pa'i tshe bcom ldan 'das kyis byang chub sems dpa' de dag gi don du 'od zer gyis  'di nas ltos pa'i phyogs bcu'i sangs rgyas sum cu rtsa bzhi dang  de dag la sogs pa mang po spyan drangs te / / "
"1549728","TD4096E.TXT.r_10;TD4096E.TXT.r_11"," nyid kyis don legs thugs chud cing // / +grol ba'i thugs mnga' thub pa yis // / ","0.0#TD4005E.TXT.r#549724#549731#TD4005E.TXT.r_90;TD4005E.TXT.r_91# 'dir nam mkha' la bzhugs pa la byang chub sems dpa' rnams kyis 'gyod pa dang bcas pas mchod cing sems bskyed nas skyabs su song ste / / "
"1549736","TD4096E.TXT.r_12;TD4096E.TXT.r_13"," chos mngon gang zhig bshad gyur pa // / +de nyid rab tu spro bar bya // / ","0.0#TD4005E.TXT.r#549732#549740#TD4005E.TXT.r_90;TD4005E.TXT.r_91# 'dir nam mkha' la bzhugs pa la byang chub sems dpa' rnams kyis 'gyod pa dang bcas pas mchod cing sems bskyed nas skyabs su song ste / / +phyag 'tshal nas sdig pa  bshags pa la sogs pa lan cig byas pas sdig pa thams cad dag ste sa dang po la sogs pa la gnas par gyur to // / "
"1549745","TD4096E.TXT.r_14"," bstan bcos mdzad par bzhed pas bstan bcos rtsom pa'i dgos pa'i dbang du byas nas bshad de / / ","0.0#TD4005E.TXT.r#549741#549748#TD4005E.TXT.r_91;TD4005E.TXT.r_92# phyag 'tshal nas sdig pa  bshags pa la sogs pa lan cig byas pas sdig pa thams cad dag ste sa dang po la sogs pa la gnas par gyur to // / "
"1549753","TD4096E.TXT.r_15;TD4096E.TXT.r_16"," de yang ston pa dang bstan bcos la gus  pa bskyed pa'o // / +rang dang gzhan gyi don phun sum tshogs pa brjod pas bcom ldan 'das kyi che ba'i bdag nyid shes pa las ni gus pa skye ste / / ","0.0#TD4005E.TXT.r#549749#549756#TD4005E.TXT.r_92;TD4005E.TXT.r_93# de'i rjes su zhugs pa ni gnas dben par mandal dang  mchod pa dang 'di rnams kyi bris sku la brten te / / ","0.0#TD4005E.TXT.r#549757#549768#TD4005E.TXT.r_93;TD4005E.TXT.r_94# bla ma'i man ngag gis sems bskyed pa la sogs pa  byas la bshags pas sdig pa thams cad dag par 'gyur la / / "
"1549769","TD4096E.TXT.r_17"," spangs pa dang ye shes phun sum tshogs pa dang ldan pa'i phyir dang  'khor ba'i 'dam du bying ba'i sems can dag drangs pas 'bras bu mthar thug pa la rab tu sbyor  bar mdzad pa nyid kyi phyir ro // / ","0.0#TD4005E.TXT.r#549769#549781#TD4005E.TXT.r_94;TD4005E.TXT.r_95;TD4005E.TXT.r_96# 'bras bu yang dag par rdzogs pa'i sangs rgyas 'thob par 'gyur ro zhes bya ba ni 'di'i tshul lo // / "
"1549786","TD4096E.TXT.r_18"," gus pa skyes nas yang 'khor ba'i 'dam du bying ba rnams klog pa dang kha don dang thos dang bsam pa la sogs pa'i bya ba dag la 'bad pa 'jug pas na de la rgal bar 'gyur ro // / ","0.0#TD4005E.TXT.r#549782#549799#TD4005E.TXT.r_96;TD4005E.TXT.r_97;TD4005E.TXT.r_98;TD4005E.TXT.r_99# dang po rten gyi sgo nas sdig pa bshags pa ni / / "
